system:index,Combined_Crop_Yield,Crop_Yield_1,Crop_Yield_2,Crop_Yield_3,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev,NDVI,Rainfall,Soil_PH,Sunlight,Temperature,Total_Precipitation,month,year,.geo,CNN_Feature
0,0.4827939334354896,0.4827939334354896,0.5889687572553801,0.3766191096155994,39.20850656686786,123.93308701377778,6.694779632125978,4.279782676310438,8.805318020014328,1.358470990250568,0.3303368274697708,0.8279283707410436,64.37274984640477,16901600.889597982,291.07761699424515,0.0005806878932818802,1.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5960539479840241
1,0.4866832643102726,0.4866832643102726,0.589687739761877,0.3836787888586762,37.71320519603459,122.94317969339444,4.410662691775023,4.971191061163277,8.433514778592672,1.446569310088521,0.3470872974443424,0.944375963048822,64.37274984640477,19479629.99921272,294.37250123888776,0.0009512465803638982,2.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.6136346432136658
2,0.4967635708942197,0.4967635708942197,0.5904634243979556,0.4030637173904793,33.157854801614484,122.70667514828604,3.79124232293276,5.542934221500445,8.167553268940102,1.6730484952540878,0.3945800129787519,0.8194885593509459,64.37274984640477,22268739.508550428,298.0369712984807,0.0010301647550408,3.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5232436199014687
3,0.4924270193846063,0.4924270193846063,0.5814977633844048,0.4033562753848095,29.722592422949194,124.58710656805196,3.361518391187326,5.964990003143403,7.55316378058806,1.798254190824016,0.4065184842315169,0.4939066227922032,64.37274984640477,24728315.240972053,303.225927728717,0.0003965967101205313,4.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.42347959764738524
4,0.5010037103109077,0.5010037103109077,0.5885750089163819,0.4134324117054322,29.857525417285384,123.76708668776594,3.426015132857756,5.991664011714614,8.091090158326914,1.9226657091030013,0.4228622681181022,0.3996095623685914,64.37274984640477,25264116.556715272,305.6229495956688,0.00017219331502366114,5.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.7292014487442386
5,0.4802747495886589,0.4802747495886589,0.568537689171463,0.3920118100058603,27.69868093783345,137.9777746637766,13.505908471264078,5.619920449400813,7.731342676460838,1.8301436030916247,0.3943574135503236,7.344119633314709,64.37274984640477,20301554.774090003,304.0995739871434,0.0058412797235609,6.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5426046106486475
6,0.3853190580414929,0.3853190580414928,0.488633994339147,0.2820041217438423,25.236717441218254,148.48045143717457,54.26461970598027,4.938651747575167,7.808382372805532,2.3032182293141417,0.2192178114356761,16.809646393001895,64.37274984640477,13042654.560634775,299.45504550276354,0.0137136106916811,7.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.7322627237734345
7,0.4462558278807766,0.4462558278807766,0.5435124445714553,0.3489992111900962,29.06736391677252,150.36107954770074,53.521152449724575,4.740729429155789,9.164387241041627,2.007040811510524,0.3181074722609195,14.773264510018798,64.37274984640477,11718693.084581995,298.6689996200321,0.0172721390027696,8.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5021471002576052
8,0.4799738900999447,0.4799738900999447,0.5859187519714781,0.3740290282284132,38.712274932202114,151.0058390137352,47.81480590277119,4.414788484023274,13.324329070337704,2.552852828800128,0.3276741306066798,12.683324147198617,64.37274984640477,11877358.70829854,298.41633403600457,0.0174977825449445,9.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.760144373300105
9,0.6202821984206291,0.6202821984206291,0.7306368400366255,0.5099275568046351,59.00692581257697,139.45583728671724,17.43360053555087,4.013490924971201,20.677818284382496,3.168524219161177,0.4865228419657958,2.7960986538567427,64.37274984640477,14953804.81633359,297.46417460009746,0.0041077543217347,10.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5961496542214242
